text,priority
dustbin overflowing in market,Medium
request for zebra crossing paint,Low
drainage overflow near houses,Medium
request to trim overgrown trees,Low
request to trim overgrown trees,Low
person collapsed on street,High
Is the Hurricane over or is it not over,High
building collapsed near school,High
I need water in Carrefour- Bertin,High
"We want you to know that Carrefour need help, we starving to death.",High
good evening we ? carrefour feuill ???we are dying of hunger and ther is no water pleas help us,High
water contamination making people sick,High
request for pedestrian path,Low
"I am not in port au prince, I am in Limbe do you know a place where there is working Internet",High
request for pedestrian path,Low
feedback on road cleanliness,Low
We have the internet at the Internet Cafe by Ti Place Cazeaux,High
road needs repair near school,Medium
mosquito breeding,Medium
noise from factory at night,Medium
public toilet not clean,Medium
electricity fluctuation,Medium
feedback on road cleanliness,Low
mosquito breeding,Medium
"We are in dire need of food, water and temporary shelter. We need to know where we can get supplies. We are located in Frere Boukan, La plaine.",High
name board faded,Low
electric wire fallen on road,High
suggestion to add CCTV,Low
public toilet not clean,Medium
tree fell on person,High
suggestion for better lighting,Low
hospital refusing emergency patient,High
road marking faded,Medium
construction debris on road,Medium
request for area beautification,Low
encroachment on footpath,Medium
water pressure low in morning,Medium
transformer exploded near houses,High
encroachment on footpath,Medium
garbage not collected for 3 days,Medium
child missing in our area,High
"Please we need help, food and toiletries.",High
request for area beautification,Low
all the internet places that are closer to me they are not operational because there us no electricity so i can' t charge my battery,High
"Around my house, there are no cyber cafe for me to use",High
old bench in park needs repair,Low
mosquito breeding,Medium
minor crack on footpath,Low
request for zebra crossing paint,Low
dead animal near water supply,High
go to delmas 1 near goldstar in painson s. a yard - we need help,High
minor drain blockage,Low
major accident on highway,High
We need help. Carrefour has been forgotten completely. The foul odor is killing us. Just letting you know. Thanks!!,High
feedback on road cleanliness,Low
streetlight not working,Medium
request for pedestrian path,Low
pothole on main road,Medium
we are dyin of thirst in MARTISAN 25BIS itsmedicine without frontier they brought food an water for us..,High
person collapsed on street,High
feedback about park cleanliness,Low
I would like to get help at Cote Plage in Carrefour,High
"Good morning, we are in Pelerin. We need some food, some water and some hygienic supplies. Please come, you can't let us perish, please",High
request for zebra crossing paint,Low
construction debris on road,Medium
minor drain blockage,Low
electricity fluctuation,Medium
hospital refusing emergency patient,High
construction debris on road,Medium
small pothole near corner,Low
electric wire fallen on road,High
request for pedestrian path,Low
request for speed breaker,Low
bus stop broken,Medium
manhole open on busy road,High
WE FOUND A LOT OF PEOPLE IN ( KOMIN MONBIN KWOCHI ) THOSE WHO ARE VICTIMS SOME LOST THEIR LIVES SOME LOST THEIR HOMES. ALL THIS PEOPLE LIVES IN ( MONBIN KWOCHI ),High
request to plant more trees,Low
I am outside of Port-au-Prince a region in the North West. The case is very urgent,High
small pothole near corner,Low
request for area beautification,Low
dengue outbreak in locality,High
request for pedestrian path,Low
child missing in our area,High
The cyber cafes are not all damaged at Clercine but their owners left for the countryside because of lack of security,High
"PLEASE, We are in Nazon, Sylvio Cator street. We need water, food and other truncated",High
"We are in Jean Rabel, we have nothing to eat. Please come to us because we were in Port-au-Prince, we lost everything",High
dead animal near water supply,High
dead animal near water supply,High
minor water pressure issue,Low
suggestion to add CCTV,Low
request to trim overgrown trees,Low
water pressure low in morning,Medium
pothole on main road,Medium
foul smell from drain,Medium
water leakage from pipe,Medium
sewage burst on main road,High
"Good morning, to everyone that is listening in Miami and other countries helping. I have my wife and five kids that will starve to death in Haiti if they do not get help. PLease help them! God will bless you!",High
suggestion to add more dustbins,Low
suggestion to improve park,Low
request for pedestrian path,Low
mosquito breeding,Medium
dead animal near water supply,High
request for pedestrian path,Low
garbage not collected for 3 days,Medium
request for pedestrian path,Low
"We are hungry, we are in the streets. We were robbed we are currently in Vivi Mitchell, Route Freres",High
water contamination making people sick,High
suggestion to improve park,Low
People are saying that alot of artists died. I think me and other people would like to know the names of those artists that left us,High
stray dogs near school,Medium
encroachment on footpath,Medium
manhole open on busy road,High
chemical smell from drain,High
suggestion to add more dustbins,Low
minor water pressure issue,Low
gas leak in apartment,High
old bench in park needs repair,Low
feedback about park cleanliness,Low
minor crack on footpath,Low
"I need some medical equipment and food in the area of Fontamara, 43 Place. .. ?",High
