text,department
Residents of 'unsafe areas' face a double threat: lack of safety and possible forced eviction.,Safety
I am with someone who is under rubble and someone who is dying of hunger,Safety
Ration card correction pending,Municipal
"Today on a call with Dr. Chan, Director General of the WHO, I was pleased to offer the experimental vaccine developed by Canadian researchers as a global resource to help fight this outbreak.""",Health
"The Meteorological Department of Madagascar reports that rainfall amounts recorded since the beginning of the month have already reached the 550 mm mark, double the monthly average for January.",Environment
"The water man is not leaving water from 2 months and all the people are bribing him still he is not leaving water and we are getting tankers every week and water man is rude  and no water supply in hora mavu agara , nadu beedi shiva temple please do the needfull",Water
midday meal not provided,Education
principal misbehaving with students,Education
"ISAF is offering a C130 commodity airlift capacity from Kabul to Mazar, and a helicopter shuttle service to lift commodities to the affected region.",Transport
If there is somewhere I can find a tent please let me know its very hard to be in the rain at 2:00 AM its very hard ,Environment
.. . calling but no reply anymore. I see that they are doing some distribution in the area ,Safety
She knew that her six children will stay fed and healthy throughout the freezing winter.,Health
"Summary: A stand alone programme with CARE organising the logistics, purchase and transport of shelter materials (poles, corrugated iron sheets and wire) for distribution through World Relief's network of community activistas in Chokwe District.",Housing
exam results not declared,Education
Lots of mosquitoes in Amarjyothi layout East wing. please do needful like regular fogging,Sanitation
The drainage is opened and no one clean since weeks,Sanitation
"Petrol pump, play ground, water tanks & pipelines were also reported damaged due to floods and landslides.",Housing
"Hi, the street light is not working since over 5 years, i have informed the BBMP several times for it to get fixed, they always tell me that the entire street light set has to be changed and the parts are not in stock",Electricity
school toilet not working,Education
"Most parts of Kenya are still experiencing the severest drought the country has seen for over two decades, following several consecutive seasonal rainfall deficits that have led to severe food insecurity conditions as well as a lack of pasture and water for livestock.",Electricity
I have a sheet but I don't have tent. ,Housing
"The office of the United Nation's High Commissioner for Refugees is pressuring the Tajik government to allow these people into the country, but the Tajik government has its own reasons for denying temporary sanctuary.",Housing
"The military, which has ruled for 46 years and is shunned by the West, has not issued an appeal for help since the Category 3 storm packing winds of 190 kph (120 mph).",Housing
stray dog attacked my child,Animal Control
